PyTorch Version: 1.12.1+cu113
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1234
Output Path: /home/xnmaster/projecte_SP/coral-cnn-master/saved_models
Script: afad-ce.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 3.4668
Epoch: 001/050 | Batch 0050/0462 | Cost: 2.8746
Epoch: 001/050 | Batch 0100/0462 | Cost: 2.8303
Epoch: 001/050 | Batch 0150/0462 | Cost: 2.8411
Epoch: 001/050 | Batch 0200/0462 | Cost: 2.8329
Epoch: 001/050 | Batch 0250/0462 | Cost: 2.8139
Epoch: 001/050 | Batch 0300/0462 | Cost: 2.7871
Epoch: 001/050 | Batch 0350/0462 | Cost: 2.7640
Epoch: 001/050 | Batch 0400/0462 | Cost: 2.8247
Epoch: 001/050 | Batch 0450/0462 | Cost: 2.7129
MAE/RMSE: | Current Test: 3.94/5.51 Ep. 0 | Best Test : 3.94/5.51 Ep. 0
Time elapsed: 3.00 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 2.8181
Epoch: 002/050 | Batch 0050/0462 | Cost: 2.6927
Epoch: 002/050 | Batch 0100/0462 | Cost: 2.6761
Epoch: 002/050 | Batch 0150/0462 | Cost: 2.7480
Epoch: 002/050 | Batch 0200/0462 | Cost: 2.7455
Epoch: 002/050 | Batch 0250/0462 | Cost: 2.7228
Epoch: 002/050 | Batch 0300/0462 | Cost: 2.6901
Epoch: 002/050 | Batch 0350/0462 | Cost: 2.7651
Epoch: 002/050 | Batch 0400/0462 | Cost: 2.6931
Epoch: 002/050 | Batch 0450/0462 | Cost: 2.6209
MAE/RMSE: | Current Test: 3.70/5.15 Ep. 1 | Best Test : 3.70/5.15 Ep. 1
Time elapsed: 5.42 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 2.7333
Epoch: 003/050 | Batch 0050/0462 | Cost: 2.6497
Epoch: 003/050 | Batch 0100/0462 | Cost: 2.6541
Epoch: 003/050 | Batch 0150/0462 | Cost: 2.7390
Epoch: 003/050 | Batch 0200/0462 | Cost: 2.7239
Epoch: 003/050 | Batch 0250/0462 | Cost: 2.6267
Epoch: 003/050 | Batch 0300/0462 | Cost: 2.6499
Epoch: 003/050 | Batch 0350/0462 | Cost: 2.6775
Epoch: 003/050 | Batch 0400/0462 | Cost: 2.7396
Epoch: 003/050 | Batch 0450/0462 | Cost: 2.6692
MAE/RMSE: | Current Test: 3.68/5.15 Ep. 2 | Best Test : 3.68/5.15 Ep. 2
Time elapsed: 7.85 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 2.6471
Epoch: 004/050 | Batch 0050/0462 | Cost: 2.6539
Epoch: 004/050 | Batch 0100/0462 | Cost: 2.7249
Epoch: 004/050 | Batch 0150/0462 | Cost: 2.6091
Epoch: 004/050 | Batch 0200/0462 | Cost: 2.6393
Epoch: 004/050 | Batch 0250/0462 | Cost: 2.6231
Epoch: 004/050 | Batch 0300/0462 | Cost: 2.8409
Epoch: 004/050 | Batch 0350/0462 | Cost: 2.5864
Epoch: 004/050 | Batch 0400/0462 | Cost: 2.5685
Epoch: 004/050 | Batch 0450/0462 | Cost: 2.7013
MAE/RMSE: | Current Test: 3.73/5.29 Ep. 3 | Best Test : 3.68/5.15 Ep. 2
Time elapsed: 10.26 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 2.5716
Epoch: 005/050 | Batch 0050/0462 | Cost: 2.6436
Epoch: 005/050 | Batch 0100/0462 | Cost: 2.5722
Epoch: 005/050 | Batch 0150/0462 | Cost: 2.6893
Epoch: 005/050 | Batch 0200/0462 | Cost: 2.6957
Epoch: 005/050 | Batch 0250/0462 | Cost: 2.6825
Epoch: 005/050 | Batch 0300/0462 | Cost: 2.6282
Epoch: 005/050 | Batch 0350/0462 | Cost: 2.6536
Epoch: 005/050 | Batch 0400/0462 | Cost: 2.6006
Epoch: 005/050 | Batch 0450/0462 | Cost: 2.6588
MAE/RMSE: | Current Test: 3.37/4.80 Ep. 4 | Best Test : 3.37/4.80 Ep. 4
Time elapsed: 12.68 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 2.6793
Epoch: 006/050 | Batch 0050/0462 | Cost: 2.5646
Epoch: 006/050 | Batch 0100/0462 | Cost: 2.5529
Epoch: 006/050 | Batch 0150/0462 | Cost: 2.6680
Epoch: 006/050 | Batch 0200/0462 | Cost: 2.5728
Epoch: 006/050 | Batch 0250/0462 | Cost: 2.5345
Epoch: 006/050 | Batch 0300/0462 | Cost: 2.6978
Epoch: 006/050 | Batch 0350/0462 | Cost: 2.6249
Epoch: 006/050 | Batch 0400/0462 | Cost: 2.6265
Epoch: 006/050 | Batch 0450/0462 | Cost: 2.5565
MAE/RMSE: | Current Test: 3.20/4.60 Ep. 5 | Best Test : 3.20/4.60 Ep. 5
Time elapsed: 15.10 min
Epoch: 007/050 | Batch 0000/0462 | Cost: 2.5034
Epoch: 007/050 | Batch 0050/0462 | Cost: 2.5875
Epoch: 007/050 | Batch 0100/0462 | Cost: 2.5739
Epoch: 007/050 | Batch 0150/0462 | Cost: 2.5354
Epoch: 007/050 | Batch 0200/0462 | Cost: 2.5004
Epoch: 007/050 | Batch 0250/0462 | Cost: 2.5631
Epoch: 007/050 | Batch 0300/0462 | Cost: 2.6856
Epoch: 007/050 | Batch 0350/0462 | Cost: 2.6150
Epoch: 007/050 | Batch 0400/0462 | Cost: 2.5633
Epoch: 007/050 | Batch 0450/0462 | Cost: 2.5859
MAE/RMSE: | Current Test: 3.50/5.01 Ep. 6 | Best Test : 3.20/4.60 Ep. 5
Time elapsed: 17.52 min
Epoch: 008/050 | Batch 0000/0462 | Cost: 2.5873
Epoch: 008/050 | Batch 0050/0462 | Cost: 2.5252
Epoch: 008/050 | Batch 0100/0462 | Cost: 2.4685
Epoch: 008/050 | Batch 0150/0462 | Cost: 2.5234
Epoch: 008/050 | Batch 0200/0462 | Cost: 2.6586
Epoch: 008/050 | Batch 0250/0462 | Cost: 2.5858
Epoch: 008/050 | Batch 0300/0462 | Cost: 2.5303
Epoch: 008/050 | Batch 0350/0462 | Cost: 2.5501
Epoch: 008/050 | Batch 0400/0462 | Cost: 2.5614
Epoch: 008/050 | Batch 0450/0462 | Cost: 2.5384
MAE/RMSE: | Current Test: 3.47/5.00 Ep. 7 | Best Test : 3.20/4.60 Ep. 5
Time elapsed: 19.93 min
Epoch: 009/050 | Batch 0000/0462 | Cost: 2.4936
Epoch: 009/050 | Batch 0050/0462 | Cost: 2.5264
Epoch: 009/050 | Batch 0100/0462 | Cost: 2.5647
Epoch: 009/050 | Batch 0150/0462 | Cost: 2.5759
Epoch: 009/050 | Batch 0200/0462 | Cost: 2.4471
Epoch: 009/050 | Batch 0250/0462 | Cost: 2.5257
Epoch: 009/050 | Batch 0300/0462 | Cost: 2.5386
Epoch: 009/050 | Batch 0350/0462 | Cost: 2.4867
Epoch: 009/050 | Batch 0400/0462 | Cost: 2.5402
Epoch: 009/050 | Batch 0450/0462 | Cost: 2.5209
MAE/RMSE: | Current Test: 3.14/4.61 Ep. 8 | Best Test : 3.14/4.61 Ep. 8
Time elapsed: 22.35 min
Epoch: 010/050 | Batch 0000/0462 | Cost: 2.4481
Epoch: 010/050 | Batch 0050/0462 | Cost: 2.4496
Epoch: 010/050 | Batch 0100/0462 | Cost: 2.5102
Epoch: 010/050 | Batch 0150/0462 | Cost: 2.5270
Epoch: 010/050 | Batch 0200/0462 | Cost: 2.5209
Epoch: 010/050 | Batch 0250/0462 | Cost: 2.4836
Epoch: 010/050 | Batch 0300/0462 | Cost: 2.5268
Epoch: 010/050 | Batch 0350/0462 | Cost: 2.4672
Epoch: 010/050 | Batch 0400/0462 | Cost: 2.4661
Epoch: 010/050 | Batch 0450/0462 | Cost: 2.5714
MAE/RMSE: | Current Test: 3.02/4.42 Ep. 9 | Best Test : 3.02/4.42 Ep. 9
Time elapsed: 24.77 min
Epoch: 011/050 | Batch 0000/0462 | Cost: 2.3732
Epoch: 011/050 | Batch 0050/0462 | Cost: 2.4471
Epoch: 011/050 | Batch 0100/0462 | Cost: 2.3806
Epoch: 011/050 | Batch 0150/0462 | Cost: 2.4937
Epoch: 011/050 | Batch 0200/0462 | Cost: 2.4057
Epoch: 011/050 | Batch 0250/0462 | Cost: 2.3947
Epoch: 011/050 | Batch 0300/0462 | Cost: 2.5271
Epoch: 011/050 | Batch 0350/0462 | Cost: 2.4563
Epoch: 011/050 | Batch 0400/0462 | Cost: 2.4447
Epoch: 011/050 | Batch 0450/0462 | Cost: 2.4318
MAE/RMSE: | Current Test: 2.83/4.21 Ep. 10 | Best Test : 2.83/4.21 Ep. 10
Time elapsed: 27.20 min
Epoch: 012/050 | Batch 0000/0462 | Cost: 2.3660
Epoch: 012/050 | Batch 0050/0462 | Cost: 2.2919
Epoch: 012/050 | Batch 0100/0462 | Cost: 2.5411
Epoch: 012/050 | Batch 0150/0462 | Cost: 2.4561
Epoch: 012/050 | Batch 0200/0462 | Cost: 2.3634
Epoch: 012/050 | Batch 0250/0462 | Cost: 2.4468
Epoch: 012/050 | Batch 0300/0462 | Cost: 2.4222
Epoch: 012/050 | Batch 0350/0462 | Cost: 2.4959
Epoch: 012/050 | Batch 0400/0462 | Cost: 2.5290
Epoch: 012/050 | Batch 0450/0462 | Cost: 2.4681
MAE/RMSE: | Current Test: 2.74/4.13 Ep. 11 | Best Test : 2.74/4.13 Ep. 11
Time elapsed: 29.62 min
Epoch: 013/050 | Batch 0000/0462 | Cost: 2.3956
Epoch: 013/050 | Batch 0050/0462 | Cost: 2.4340
Epoch: 013/050 | Batch 0100/0462 | Cost: 2.3779
Epoch: 013/050 | Batch 0150/0462 | Cost: 2.4597
Epoch: 013/050 | Batch 0200/0462 | Cost: 2.3853
Epoch: 013/050 | Batch 0250/0462 | Cost: 2.4218
Epoch: 013/050 | Batch 0300/0462 | Cost: 2.5065
Epoch: 013/050 | Batch 0350/0462 | Cost: 2.5414
Epoch: 013/050 | Batch 0400/0462 | Cost: 2.5462
Epoch: 013/050 | Batch 0450/0462 | Cost: 2.3634
MAE/RMSE: | Current Test: 2.69/4.08 Ep. 12 | Best Test : 2.69/4.08 Ep. 12
Time elapsed: 32.05 min
Epoch: 014/050 | Batch 0000/0462 | Cost: 2.3195
Epoch: 014/050 | Batch 0050/0462 | Cost: 2.2931
Epoch: 014/050 | Batch 0100/0462 | Cost: 2.3048
Epoch: 014/050 | Batch 0150/0462 | Cost: 2.3370
Epoch: 014/050 | Batch 0200/0462 | Cost: 2.3281
Epoch: 014/050 | Batch 0250/0462 | Cost: 2.3954
Epoch: 014/050 | Batch 0300/0462 | Cost: 2.3957
Epoch: 014/050 | Batch 0350/0462 | Cost: 2.4248
Epoch: 014/050 | Batch 0400/0462 | Cost: 2.3699
Epoch: 014/050 | Batch 0450/0462 | Cost: 2.3790
MAE/RMSE: | Current Test: 2.50/3.83 Ep. 13 | Best Test : 2.50/3.83 Ep. 13
Time elapsed: 34.48 min
Epoch: 015/050 | Batch 0000/0462 | Cost: 2.3052
Epoch: 015/050 | Batch 0050/0462 | Cost: 2.2769
Epoch: 015/050 | Batch 0100/0462 | Cost: 2.2444
Epoch: 015/050 | Batch 0150/0462 | Cost: 2.2610
Epoch: 015/050 | Batch 0200/0462 | Cost: 2.3358
Epoch: 015/050 | Batch 0250/0462 | Cost: 2.3249
Epoch: 015/050 | Batch 0300/0462 | Cost: 2.3642
Epoch: 015/050 | Batch 0350/0462 | Cost: 2.3071
Epoch: 015/050 | Batch 0400/0462 | Cost: 2.4120
Epoch: 015/050 | Batch 0450/0462 | Cost: 2.3881
MAE/RMSE: | Current Test: 2.43/3.81 Ep. 14 | Best Test : 2.43/3.81 Ep. 14
Time elapsed: 36.90 min
Epoch: 016/050 | Batch 0000/0462 | Cost: 2.2077
Epoch: 016/050 | Batch 0050/0462 | Cost: 2.2157
Epoch: 016/050 | Batch 0100/0462 | Cost: 2.1662
Epoch: 016/050 | Batch 0150/0462 | Cost: 2.2463
Epoch: 016/050 | Batch 0200/0462 | Cost: 2.2998
Epoch: 016/050 | Batch 0250/0462 | Cost: 2.2658
Epoch: 016/050 | Batch 0300/0462 | Cost: 2.2227
Epoch: 016/050 | Batch 0350/0462 | Cost: 2.2589
Epoch: 016/050 | Batch 0400/0462 | Cost: 2.2190
Epoch: 016/050 | Batch 0450/0462 | Cost: 2.1755
MAE/RMSE: | Current Test: 2.15/3.50 Ep. 15 | Best Test : 2.15/3.50 Ep. 15
Time elapsed: 39.33 min
Epoch: 017/050 | Batch 0000/0462 | Cost: 2.1799
Epoch: 017/050 | Batch 0050/0462 | Cost: 2.1409
Epoch: 017/050 | Batch 0100/0462 | Cost: 2.0697
Epoch: 017/050 | Batch 0150/0462 | Cost: 2.1431
Epoch: 017/050 | Batch 0200/0462 | Cost: 2.1277
Epoch: 017/050 | Batch 0250/0462 | Cost: 2.1372
Epoch: 017/050 | Batch 0300/0462 | Cost: 2.1352
Epoch: 017/050 | Batch 0350/0462 | Cost: 2.3596
Epoch: 017/050 | Batch 0400/0462 | Cost: 2.2307
Epoch: 017/050 | Batch 0450/0462 | Cost: 2.1910
MAE/RMSE: | Current Test: 2.00/3.37 Ep. 16 | Best Test : 2.00/3.37 Ep. 16
Time elapsed: 41.75 min
Epoch: 018/050 | Batch 0000/0462 | Cost: 2.0235
Epoch: 018/050 | Batch 0050/0462 | Cost: 1.9815
Epoch: 018/050 | Batch 0100/0462 | Cost: 2.0164
Epoch: 018/050 | Batch 0150/0462 | Cost: 2.1058
Epoch: 018/050 | Batch 0200/0462 | Cost: 2.1575
Epoch: 018/050 | Batch 0250/0462 | Cost: 2.0320
Epoch: 018/050 | Batch 0300/0462 | Cost: 2.0261
Epoch: 018/050 | Batch 0350/0462 | Cost: 2.0731
Epoch: 018/050 | Batch 0400/0462 | Cost: 2.0732
Epoch: 018/050 | Batch 0450/0462 | Cost: 1.9898
MAE/RMSE: | Current Test: 1.83/3.20 Ep. 17 | Best Test : 1.83/3.20 Ep. 17
Time elapsed: 44.17 min
Epoch: 019/050 | Batch 0000/0462 | Cost: 1.8280
Epoch: 019/050 | Batch 0050/0462 | Cost: 1.9614
Epoch: 019/050 | Batch 0100/0462 | Cost: 1.8638
Epoch: 019/050 | Batch 0150/0462 | Cost: 2.0135
Epoch: 019/050 | Batch 0200/0462 | Cost: 1.9851
Epoch: 019/050 | Batch 0250/0462 | Cost: 1.9125
Epoch: 019/050 | Batch 0300/0462 | Cost: 1.9669
Epoch: 019/050 | Batch 0350/0462 | Cost: 1.8848
Epoch: 019/050 | Batch 0400/0462 | Cost: 1.9174
